url;titulo;precio;precio millones;area;precio por metro;precio por metro millones;habitaciones;banos;parqueadero;Estrato;Sector;Admón;Admon por mt 2;Estado;Antigüedad;Piso No
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2926165.aspx;Apartamento en Venta Medellín Loma del Indio;324000000;324;75;4320000;4,32;3;2;1;4;;210000;2800; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2844260.aspx;Apartamento en Venta Medellín El Poblado;310000000;310;72;4305555,556;4,305555556;3;2;1;4;;207000;2875; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3152220.aspx;Apartamento en Venta Medellín El Poblado;175000000;175;54;3240740,741;3,240740741;2;1;1;4;;;0;;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3148171.aspx;Apartamento en Venta Medellín Loma del Indio;230000000;230;58;3965517,241;3,965517241;3;2;1;4;;200000;3448; Excelente; 1 a 8 años; 10º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2988137.aspx;Apartamento en Venta Medellín El Poblado;263000000;263;57;4614035,088;4,614035088;3;2;1;4;;180000;3158; Bueno; 16 a 30 años; 1º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/manila-det-2786340.aspx;Apartamento en Venta Medellín MANILA;250000000;250;90;2777777,778;2,777777778;3;2;1;4;;220000;2444;; 16 a 30 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-3163725.aspx;Apartamento en Venta Medellín Castropol;263000000;263;55;4781818,182;4,781818182;3;2;1;4;;;0; Bueno; 9 a 15 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3157007.aspx;Apartamento en Venta Medellín Loma del Indio;175000000;175;55;3181818,182;3,181818182;2;1;1;4;;128000;2327; Bueno; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3139851.aspx;Apartamento en Venta Medellín Loma del Indio;255000000;255;63;4047619,048;4,047619048;2;2;1;4;;180000;2857; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3143948.aspx;Apartamento en Venta Medellín Loma del Indio;360000000;360;98;3673469,388;3,673469388;3;2;1;4;;;0; Excelente; Menos de 1 año; 7º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-3163738.aspx;Apartamento en Venta Medellín Castropol;263000000;263;55;4781818,182;4,781818182;3;2;1;4;;;0; Bueno; 9 a 15 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2311787.aspx;Apartamento en Venta Medellín Loma del Indio;348000000;348;94;3702127,66;3,70212766;2;3;1;4;;254000;2702; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3150045.aspx;Apartamento en Venta Medellín Loma del Indio;340000000;340;75;4533333,333;4,533333333;3;2;1;4;;220000;2933; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/santa_maria_los_angeles-det-3129799.aspx;Apartamento en Venta Medellín Santa María de los Ángeles;250000000;250;70;3571428,571;3,571428571;2;2;1;4;;340000;4857; Excelente; 9 a 15 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3120122.aspx;Apartamento en Venta Medellín El Poblado;167000000;167;47;3553191,489;3,553191489;2;1;1;4;;142000;3021; Excelente; 9 a 15 años; 9º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/aguacatala-det-3141777.aspx;Apartamento en Venta Medellín AGUACATALA;530000000;530;88;6022727,273;6,022727273;2;2;1;4;;250000;2841;; Menos de 1 año;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3147422.aspx;Apartamento en Venta Medellín Loma del Indio;362000000;362;92;3934782,609;3,934782609;3;2;1;4;;264000;2870; Excelente; 1 a 8 años; 16ª
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3112558.aspx;Apartamento en Venta Medellín Loma del Indio;275000000;275;85;3235294,118;3,235294118;3;2;1;4;;254600;2995; Excelente; 16 a 30 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3110814.aspx;Apartamento en Venta Medellín Loma del Indio;260000000;260;62;4193548,387;4,193548387;2;2;1;4;;180000;2903; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2861272.aspx;Apartamento en Venta Medellín Loma del Indio;330000000;330;71,5;4615384,615;4,615384615;2;2;1;4;;200000;2797; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3143036.aspx;Apartamento en Venta Medellín Loma del Indio;225000000;225;70;3214285,714;3,214285714;3;2;1;4;;175000;2500; Excelente; 9 a 15 años; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3083908.aspx;Apartamento en Venta Medellín El Poblado;220000000;220;97;2268041,237;2,268041237;2;2;1;4;;243000;2505; Excelente;; 5º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3079861.aspx;Apartamento en Venta Medellín Loma del Indio;350000000;350;108;3240740,741;3,240740741;3;2;1;4;;330000;3056; Excelente; 1 a 8 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2894557.aspx;Apartamento en Venta Medellín El Poblado;195000000;195;71;2746478,873;2,746478873;3;2;1;4;;220000;3099; Excelente; 16 a 30 años; 5º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3104217.aspx;Apartamento en Venta Medellín Loma del Indio;215000000;215;69;3115942,029;3,115942029;3;2;1;4;;181300;2628; Bueno; 16 a 30 años; 1º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/las_palmas-det-3154547.aspx;Apartamento en Venta Medellín Las Palmas;290000000;290;70;4142857,143;4,142857143;2;2;1;4;;;0; Excelente; Menos de 1 año; 12º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/altos_del_poblado-det-3134803.aspx;Apartamento en Venta Medellín Altos del Poblado;275000000;275;68;4044117,647;4,044117647;1;2;1;4;;200000;2941; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3090082.aspx;Apartamento en Venta Medellín Loma del Indio;240000000;240;85;2823529,412;2,823529412;3;2;1;4;;260000;3059;;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3081650.aspx;Apartamento en Venta Medellín Loma del Indio;165000000;165;55;3000000;3;3;2;1;4;;160000;2909; Excelente; 1 a 8 años; 10º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3134821.aspx;Apartamento en Venta Medellín El Poblado;330000000;330;72;4583333,333;4,583333333;3;2;1;4;;207000;2875; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_inidio-det-1829554.aspx;Apartamento en Venta Medellín LOMA DEL INIDIO;300000000;300;85;3529411,765;3,529411765;3;3;1;4;;;0;; 9 a 15 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3034084.aspx;Apartamento en Venta Medellín Loma del Indio;280000000;280;84;3333333,333;3,333333333;4;3;1;4;;270000;3214; Bueno; 9 a 15 años; 11º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3133472.aspx;Apartamento en Venta Medellín El Poblado;215000000;215;70;3071428,571;3,071428571;3;2;1;4;;180000;2571; Excelente;; 1º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2748343.aspx;Apartamento en Venta Medellín El Poblado;310000000;310;73;4246575,342;4,246575342;3;2;1;4;;215000;2945; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2770431.aspx;Apartamento en Venta Medellín Loma del Indio;310000000;310;72;4305555,556;4,305555556;3;2;1;4;;207000;2875; Bueno; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3100284.aspx;Apartamento en Venta Medellín Loma del Indio;185000000;185;90;2055555,556;2,055555556;4;2;1;4;;250000;2778; Bueno; 16 a 30 años; 5º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/san_diego-det-3067857.aspx;Apartamento en Venta Medellín San Diego;225000000;225;70;3214285,714;3,214285714;3;2;1;4;;;0; Excelente; 16 a 30 años; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3120919.aspx;Apartamento en Venta Medellín Loma del Indio;220000000;220;70;3142857,143;3,142857143;3;2;1;4;;163000;2329; Excelente; 1 a 8 años; 1º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/manila-det-2681508.aspx;Apartamento en Venta Medellín Manila;270000000;270;84;3214285,714;3,214285714;3;2;1;4;;274000;3262; Bueno; 16 a 30 años; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2691779.aspx;Apartamento en Venta Medellín El Poblado;510000000;510;107;4766355,14;4,76635514;1;2;1;4;;310000;2897; Excelente; 1 a 8 años; 8º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2698177.aspx;Apartamento en Venta Medellín El Poblado;280000000;280;84;3333333,333;3,333333333;3;3;1;4;;225000;2679; Excelente; 16 a 30 años; 7º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2523572.aspx;Apartamento en Venta Medellín El Poblado;290000000;290;71;4084507,042;4,084507042;3;2;1;4;;188000;2648; Excelente;;
